CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
04.423.567/0001-21;2013-01-01;7;31948;ENEVA S.A.;Debêntures;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-06-15;;;2011-06-15;
04.423.567/0001-21;2013-01-01;7;31948;ENEVA S.A.;Nota Comercial;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2012-07-20;;;2012-07-20;
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2011-10-15;2011-10-15;;2011-10-15;2011-10-15
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2011-08-05;2011-08-05;;2011-08-05;2011-08-05
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2013-03-26;2013-03-26;;2013-03-26;2013-03-26
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2008-08-04;2008-08-04;;2008-08-04;2008-08-04
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2010-09-30;2010-09-30;;2010-09-30;2010-09-30
04.437.534/0001-30;2013-01-01;4;29857;UNIDAS S.A.;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2009-10-05;2009-10-05;;2009-10-05;2009-10-05
04.821.041/0001-08;2013-01-01;2;29017;METALFRIO SOLUTIONS S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-04-13;;Nível 1 de Governança Corporativa;2007-04-13;
04.895.728/0001-80;2013-01-01;5;31486;CENTRAIS ELÉTRICAS DO PARÁ S.A - CELPA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-06-14;;Nível 2 de Governança Corporativa;1999-06-14;
04.913.711/0001-08;2013-01-01;2;28482;BANCO DO ESTADO DO PARÁ S/A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1977-07-20;;Nível 2 de Governança Corporativa;1977-07-20;
04.986.320/0001-13;2013-01-01;3;33373;SER EDUCACIONAL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2013-10-29;;Nível 1 de Governança Corporativa;2013-10-29;
05.341.549/0001-63;2013-01-01;3;31305;TARPON INVESTIMENTOS S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2009-05-21;;Nível 1 de Governança Corporativa;2009-05-21;
05.799.312/0001-20;2013-01-01;3;28332;VANGUARDA AGRO S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-11-22;;Nível 1 de Governança Corporativa;2006-11-22;
05.878.397/0001-32;2013-01-01;2;29177;SONAE SIERRA BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-02-02;;Nível 1 de Governança Corporativa;2011-02-02;
05.878.397/0001-32;2013-01-01;2;29177;SONAE SIERRA BRASIL S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-03-15;;;2012-03-02;
06.082.980/0001-03;2013-01-01;3;29108;ALIANSCE SHOPPING CENTERS S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-01-28;;Nível 1 de Governança Corporativa;2010-01-28;
06.082.980/0001-03;2013-01-01;3;29108;ALIANSCE SHOPPING CENTERS S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-02-15;;;2012-02-15;
06.082.980/0001-03;2013-01-01;3;29108;ALIANSCE SHOPPING CENTERS S/A;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2012-04-13;;;2012-04-13;
06.272.793/0001-84;2013-01-01;3;30572;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1997-11-13;;;1997-11-13;
06.272.793/0001-84;2013-01-01;3;30572;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-06-21;;;2012-06-21;
06.626.253/0001-51;2013-01-01;2;28953;Empreendimentos Pague Menos S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-05-18;;;2012-05-18;
06.948.969/0001-75;2013-01-01;2;27222;LINX S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2013-02-08;;Nível 1 de Governança Corporativa;2013-02-08;
06.977.739/0001-34;2013-01-01;3;30382;TEMPO PARTICIPAÇOES S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-12-19;;Nível 1 de Governança Corporativa;2007-12-19;
06.977.745/0001-91;2013-01-01;3;33505;BR MALLS PARTICIPAÇOES S.A.;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2012-07-27;;;2012-07-27;
06.981.176/0001-58;2013-01-01;2;26649;CEMIG GERAÇÃO E TRANSMISSÃO S/A;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-05-04;;;2007-05-04;
06.981.176/0001-58;2013-01-01;2;26649;CEMIG GERAÇÃO E TRANSMISSÃO S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2007-04-27;;;2007-04-27;
06.981.176/0001-58;2013-01-01;2;26649;CEMIG GERAÇÃO E TRANSMISSÃO S/A;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2012-01-13;;;2012-01-13;
06.981.180/0001-16;2013-01-01;4;26648;CEMIG DISTRIBUIÇÃO S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2007-12-19;;;2007-12-19;
