date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3,IBOV
2022-02-11,14.860000,16.700000,16.015200,9.815400,28.935700,23.415700,33.760000,37.620000,91.970000,29.530000,113572.000000
2022-02-14,15.060000,16.770000,16.037900,9.715400,28.942900,23.362800,33.000000,37.480000,91.570000,30.440000,113807.000000
2022-02-15,15.380000,17.565000,16.053000,9.907700,28.942900,23.583400,32.480000,37.790000,88.850000,32.880000,114660.000000
2022-02-16,15.080000,17.665000,16.242400,10.107700,28.964300,23.336300,32.930000,37.400000,89.500000,31.300000,115181.000000
2022-02-17,14.850000,17.665000,16.053000,9.976900,28.978600,23.009700,32.800000,37.360000,85.650000,30.650000,113528.000000
2022-02-18,14.770000,18.025000,16.143900,10.015400,28.885700,23.098000,33.000000,37.700000,85.830000,29.810000,112768.000000
2022-02-21,14.450000,17.640000,15.954500,9.823100,29.064300,22.533100,33.850000,37.850000,85.900000,29.520000,111725.000000
2022-02-22,14.710000,17.805000,15.893900,9.800000,29.078600,22.727300,33.740000,38.850000,87.390000,29.530000,112892.000000
2022-02-23,14.810000,17.895000,15.818200,10.023100,29.314300,22.409500,34.220000,39.670000,86.470000,28.600000,112008.000000
2022-02-24,14.840000,17.325000,15.340900,9.830800,29.300000,22.030000,33.390000,39.650000,87.540000,29.320000,111592.000000
2022-02-25,15.200000,17.605000,15.416700,9.846200,28.478600,22.480100,34.000000,39.430000,92.280000,29.400000,113142.000000
2022-03-02,14.520000,17.800000,15.257600,10.130800,28.614300,22.091800,34.670000,39.880000,99.650000,30.250000,115174.000000
2022-03-03,14.180000,17.385000,15.537900,10.200000,28.107100,22.109400,34.240000,39.740000,99.700000,31.250000,115166.000000
2022-03-04,13.930000,16.950000,15.090900,9.992300,28.192900,21.774100,34.230000,41.320000,101.970000,31.510000,114474.000000
2022-03-07,13.430000,16.225000,14.704500,9.453800,27.942900,21.306300,31.800000,40.450000,105.070000,31.080000,111593.000000
2022-03-08,13.440000,16.350000,14.893900,9.630800,27.871400,21.103300,32.460000,40.000000,100.460000,31.570000,111203.000000
2022-03-09,13.930000,17.275000,15.848500,10.000000,28.492900,22.153600,32.560000,40.930000,94.190000,32.670000,113900.000000
2022-03-10,13.380000,17.050000,15.750000,9.892300,28.528600,22.171200,33.700000,41.080000,97.300000,31.720000,113663.000000
2022-03-11,13.180000,16.710000,15.681800,9.730800,28.435700,21.924100,32.490000,40.850000,96.790000,31.390000,111713.000000
2022-03-14,13.320000,16.815000,15.795500,9.784600,28.607100,22.233000,31.870000,40.650000,91.600000,31.020000,109928.000000
2022-03-15,13.470000,16.520000,15.757600,9.800000,28.564300,22.153600,31.100000,41.230000,88.970000,30.200000,108959.000000
2022-03-16,13.780000,16.740000,15.984800,9.792300,28.842900,22.586100,30.830000,41.350000,91.130000,31.980000,111112.000000
2022-03-17,13.930000,16.895000,16.045500,10.415400,29.321400,23.080300,30.010000,41.750000,94.300000,33.100000,113076.000000
2022-03-18,14.250000,16.860000,16.007600,10.761500,29.214300,23.248000,30.610000,42.480000,96.090000,33.290000,115311.000000
2022-03-21,14.180000,17.205000,16.386400,10.976900,29.464300,23.821700,31.760000,42.430000,98.810000,32.550000,116155.000000
2022-03-22,14.380000,17.550000,16.590900,11.007700,29.864300,24.148300,31.620000,42.760000,96.600000,33.000000,117272.000000
2022-03-23,14.190000,17.460000,16.484800,11.092300,30.164300,24.042400,32.050000,42.830000,96.390000,32.750000,117457.000000
2022-03-24,14.200000,17.660000,16.727300,11.400000,30.792900,24.201200,32.420000,43.820000,96.910000,33.130000,119053.000000
2022-03-25,14.320000,17.650000,16.878800,11.361500,31.057100,24.245400,32.300000,44.400000,95.230000,32.880000,119081.000000
2022-03-28,14.740000,17.480000,16.795500,11.307700,31.100000,24.227700,31.600000,44.210000,95.340000,33.600000,118738.000000
2022-03-29,15.250000,17.555000,17.098500,11.261500,30.785700,24.510200,32.300000,43.720000,94.520000,33.950000,120014.000000
2022-03-30,15.170000,17.450000,16.992400,11.361500,30.857100,24.563100,32.990000,43.730000,95.870000,34.150000,120260.000000
2022-03-31,15.400000,17.350000,16.833300,11.700000,30.885700,24.254200,33.450000,44.140000,95.600000,34.870000,119999.000000
2022-04-01,15.390000,17.340000,16.651500,11.746200,31.678600,24.307200,33.010000,44.250000,96.960000,35.380000,121570.000000
2022-04-04,15.190000,17.180000,16.568200,11.676900,31.221400,24.086500,32.700000,44.580000,97.940000,35.020000,121280.000000
2022-04-05,15.070000,16.725000,16.106100,11.607700,31.121400,23.601100,32.390000,44.140000,95.110000,34.630000,118885.000000
2022-04-06,14.950000,16.810000,16.022700,11.692300,31.285700,23.592200,32.360000,43.990000,96.550000,34.330000,118228.000000
2022-04-07,15.060000,17.120000,16.090900,11.630800,31.364300,23.574600,34.040000,44.030000,97.130000,34.120000,118862.000000
2022-04-08,14.930000,17.425000,16.272700,11.684600,31.407100,23.530400,34.210000,44.330000,95.150000,34.140000,118322.000000
2022-04-11,15.200000,17.535000,16.250000,11.615400,31.442900,23.442200,33.950000,44.180000,94.000000,32.550000,116953.000000
2022-04-12,15.050000,17.500000,16.106100,11.446200,31.535700,23.027400,33.850000,44.520000,93.370000,32.370000,116147.000000
2022-04-13,14.830000,17.585000,16.272700,11.838500,31.414300,23.089100,34.570000,44.140000,93.400000,32.560000,116782.000000
2022-04-14,14.700000,17.600000,16.234800,11.892300,31.478600,23.239200,31.270000,44.300000,92.090000,32.290000,116182.000000
2022-04-18,14.710000,18.250000,16.522700,11.984600,31.507100,23.371600,30.720000,44.720000,90.570000,31.910000,115687.000000
2022-04-19,14.650000,17.605000,16.308300,11.284600,31.121400,22.956800,31.650000,44.150000,87.680000,31.370000,115057.000000
2022-04-20,14.730000,17.580000,16.250000,11.330800,31.500000,23.106800,31.800000,44.580000,85.400000,31.420000,114344.000000
2022-04-22,14.750000,17.215000,16.016700,11.253800,31.278600,22.656700,30.560000,44.360000,80.450000,31.310000,111078.000000
2022-04-25,15.120000,17.350000,15.916700,11.576900,31.750000,22.568400,30.110000,45.010000,79.080000,31.210000,110685.000000
2022-04-26,14.750000,16.960000,15.233300,11.615400,30.607100,21.800500,30.060000,45.460000,78.000000,29.980000,108213.000000
2022-04-27,14.680000,17.035000,15.325000,11.823100,30.564300,21.624000,30.060000,45.750000,82.170000,31.630000,109349.000000
2022-04-28,14.710000,17.005000,15.183300,11.800000,30.342900,21.447500,30.260000,45.090000,84.200000,31.130000,109919.000000
2022-04-29,14.520000,16.610000,14.983300,11.284600,29.928600,21.068000,30.280000,43.980000,83.290000,30.100000,107876.000000
2022-05-02,14.470000,16.490000,14.975000,8.284600,29.878600,20.962000,29.980000,43.550000,82.920000,28.940000,106639.000000
2022-05-03,14.240000,16.830000,15.058300,8.000000,29.785700,21.068000,30.250000,44.150000,82.500000,28.410000,106528.000000
2022-05-04,14.340000,17.320000,15.275000,8.146200,30.707100,21.041500,32.070000,45.150000,81.810000,28.940000,108344.000000
2022-05-05,13.730000,16.870000,14.775000,7.876900,29.757100,20.556000,32.010000,44.580000,80.330000,28.160000,105304.000000
2022-05-06,13.530000,16.925000,15.083300,7.830800,29.764300,20.997400,33.060000,44.720000,79.760000,27.150000,105135.000000
2022-05-09,13.690000,16.970000,15.308300,7.946200,30.492900,20.697300,32.160000,45.010000,76.490000,26.660000,103250.000000
2022-05-10,13.730000,16.775000,15.458300,7.976900,30.300000,20.591300,32.440000,41.100000,75.540000,26.120000,103110.000000
2022-05-11,13.950000,17.145000,15.725000,8.015400,29.900000,21.279800,33.570000,40.210000,78.690000,26.100000,104397.000000
2022-05-12,14.480000,17.580000,15.825000,8.046200,29.850000,21.615200,33.830000,40.720000,77.900000,26.410000,105688.000000
2022-05-13,14.540000,17.555000,16.008300,8.130800,30.257100,21.871100,34.270000,40.330000,77.810000,26.500000,106924.000000
2022-05-16,14.690000,17.710000,16.275000,8.261500,30.392900,22.100600,34.610000,40.350000,80.140000,26.200000,108233.000000
2022-05-17,14.730000,18.215000,16.608300,8.507700,30.835700,22.294800,34.160000,40.740000,79.800000,26.910000,108789.000000
2022-05-18,14.220000,17.955000,16.300000,8.492300,30.578600,21.977100,33.600000,41.000000,77.780000,26.430000,106247.000000
2022-05-19,14.140000,17.850000,16.175000,8.561500,30.757100,21.906400,34.170000,41.070000,79.850000,25.530000,107005.000000
2022-05-20,14.020000,18.500000,16.391700,8.715400,31.150000,22.180100,34.830000,40.800000,81.260000,25.990000,108488.000000
2022-05-23,14.080000,19.280000,16.658300,8.984600,31.435700,22.753800,36.200000,40.890000,82.920000,26.570000,110346.000000
2022-05-24,14.130000,18.900000,17.008300,9.184600,32.028600,23.098000,31.600000,41.850000,84.040000,26.080000,110581.000000
