date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2023-01-25,0.84474996,1.77757391,0.71675847,1.01539876,1.11417132,1.06625850,1.87839557,1.12904846,1.19621475,1.09169445
2023-01-26,0.84659842,1.77669934,0.71878980,0.98680217,1.10930333,1.06001538,1.82679895,1.13915746,1.21859715,1.07731521
2023-01-27,0.84105302,1.75702140,0.69743954,0.97034702,1.11273979,1.03754202,1.78635837,1.14705511,1.18527225,1.06885683
2023-01-30,0.83365915,1.78457051,0.70100199,0.96774528,1.11188168,1.03796168,1.79542264,1.15116189,1.18104446,1.05306786
2023-01-31,0.84166918,1.77976035,0.71268972,0.99287289,1.12705905,1.05419192,1.81773469,1.17074807,1.17520017,1.07816105
2023-02-01,0.81209369,1.75833326,0.69994713,0.98940391,1.11359791,1.04033313,1.79263363,1.14358014,1.16214377,1.08239023
2023-02-02,0.80778059,1.72509941,0.70962323,0.98940391,1.10042547,1.04991180,1.70966070,1.14263242,1.10842602,1.07252213
2023-02-03,0.79977056,1.71416722,0.69383848,0.96774528,1.08667562,1.04616055,1.72848649,1.12715302,1.10606343,1.06885683
2023-02-06,0.80223519,1.72378754,0.69129728,0.98160995,1.09383725,1.04658050,1.79751439,1.13947336,1.09226095,1.05927067
2023-02-07,0.79853825,1.70017401,0.68722282,0.95042288,1.07006271,1.02242149,1.78635837,1.12430987,1.09947306,1.06209013
2023-02-08,0.81270984,1.74040447,0.72082038,0.96514354,1.09011208,1.10696387,1.81634018,1.13884155,1.10320346,1.06180818
2023-02-09,0.80223519,1.73122143,0.70249444,0.94088318,1.07206765,1.07947828,1.80797316,1.12367806,1.09910002,1.07083045
2023-02-10,0.79237669,1.76532986,0.64496930,0.94955564,1.08925397,1.07448133,1.86305603,1.13631430,1.07932890,1.08831110
2023-02-13,0.80901291,1.77538747,0.66787673,0.95388061,1.10586687,1.11238077,1.86863405,1.14515967,1.07820978,1.08774721
2023-02-14,0.80100288,1.81692979,0.67398538,0.94521941,1.09125890,1.09863561,1.86166153,1.13663021,1.08305930,1.08154440
2023-02-15,0.81517447,1.83354672,0.70046026,0.94435216,1.11045016,1.11487689,1.86445054,1.13347115,1.10668517,1.09620558
2023-02-16,0.80593212,1.85409923,0.71369159,0.94782115,1.11846990,1.12320986,1.87212030,1.13220752,1.10904775,1.09338612
2023-02-17,0.81332600,1.87246531,0.70962323,0.94782115,1.12820587,1.11945860,1.84353299,1.13473477,1.09462354,1.11706958
2023-02-22,0.81394215,1.82611283,0.70249444,0.92529527,1.12104424,1.09863561,1.79611989,1.12715302,1.08629231,1.08267218
2023-02-23,0.81640678,1.84098061,0.69944011,0.92616252,1.11789649,1.10280210,1.85120276,1.12620530,1.08119410,1.10635563
2023-02-24,0.82071987,1.77014002,0.67703970,0.91403234,1.11732308,1.06906914,1.81076217,1.11356906,1.05744389,1.09564169
2023-02-27,0.82564912,1.74608921,0.67042404,0.91403234,1.11990143,1.05603141,1.82331270,1.11893946,1.05744389,1.09395001
2023-02-28,0.82503296,1.76226885,0.66584255,0.90796161,1.12505411,1.05978045,1.75986281,1.12115081,1.06092560,1.10410007
